id,class
1,F
3,F
5,F
7,F
9,F
11,F
13,F
15,F
17,F
19,F
21,F
23,F
25,F
27,F
29,F
31,F
33,F
35,F
37,F
39,F
41,F
43,F
45,F
47,F
49,F
51,F
53,F
55,F
57,F
59,F
61,F
63,F
65,F
67,F
69,F
71,F
73,F
75,F
77,F
79,F
81,F
83,F
85,F
87,F
89,F
91,F
93,F
95,F
97,F
99,F
101,F
103,F
105,F
107,F
109,F
111,F
113,F
115,F
117,F
119,F
121,F
123,F
125,F
127,F
129,F
131,F
133,F
135,F
137,F
139,F
141,F
143,F
145,F
147,F
149,F
151,F
153,F
155,F
157,F
159,F
161,F
163,F
165,F
167,F
169,F
171,F
173,F
175,F
177,F
179,F
181,F
183,F
185,F
187,F
189,F
191,F
193,F
195,F
197,F
199,F
201,F
203,F
205,F
207,F
209,F
211,F
213,F
215,F
217,F
219,F
221,F
223,F
225,F
227,F
229,F
231,F
233,F
235,F
237,F
239,F
241,F
243,F
245,F
247,F
249,F
251,F
253,F
255,F
257,F
259,F
261,F
263,F
265,F
267,F
269,F
271,F
273,F
275,F
277,F
279,F
281,F
283,F
285,F
287,F
289,F
291,F
293,F
295,F
297,F
299,F
301,F
303,F
305,F
307,F
309,F
311,F
313,F
315,F
317,F
319,F
321,F
323,F
325,F
327,F
329,F
331,F
333,F
335,F
337,F
339,F
341,F
343,F
345,F
347,F
349,F
351,F
353,F
355,F
357,F
359,F
361,F
363,F
365,F
367,F
369,F
371,F
373,F
375,F
377,F
379,F
381,F
383,F
385,F
387,F
389,F
391,F
393,F
395,F
397,F
399,F
401,F
403,F
405,F
407,F
409,F
411,F
413,F
415,F
417,F
419,F
421,F
423,F
425,F
427,F
429,F
431,F
433,F
435,F
437,F
439,F
441,F
443,F
445,F
447,F
449,F
451,F
453,F
455,F
457,F
459,F
461,F
463,F
465,F
467,F
469,F
471,F
473,F
475,F
477,F
479,F
481,F
483,F
485,F
487,F
489,F
491,F
493,F
495,F
497,F
499,F
501,F
503,F
505,F
507,F
509,F
511,F
513,F
515,F
517,F
519,F
521,F
523,F
525,F
527,F
529,F
531,F
533,F
535,F
537,F
539,F
541,F
543,F
545,F
547,F
549,F
551,F
553,F
555,F
557,F
559,F
561,F
563,F
565,F
567,F
569,F
571,F
573,F
575,F
577,F
579,F
581,F
583,F
585,F
587,F
589,F
591,F
593,F
595,F
597,F
599,F
601,F
603,F
605,F
607,F
609,F
611,F
613,F
615,F
617,F
619,F
621,F
623,F
625,F
627,F
629,F
631,F
633,F
635,F
637,F
639,F
641,F
643,F
645,F
647,F
649,F
651,F
653,F
655,F
657,F
659,F
661,F
663,F
665,F
667,F
669,F
671,F
673,F
675,F
677,F
679,F
681,F
683,F
685,F
687,F
689,F
691,F
693,F
695,F
697,F
699,F
701,F
703,F
705,F
707,F
709,F
711,F
713,F
715,F
717,F
719,F
721,F
723,F
725,F
727,F
729,F
731,F
733,F
735,F
737,F
739,F
741,F
743,F
745,F
747,F
749,F
751,F
753,F
755,F
757,F
759,F
761,F
763,F
765,F
767,F
769,F
771,F
773,F
775,F
777,F
779,F
781,F
783,F
785,F
787,F
789,F
791,F
793,F
795,F
797,F
799,F
801,F
803,F
805,F
807,F
809,F
811,F
813,F
815,F
817,F
819,F
821,F
823,F
825,F
827,F
829,F
831,F
833,F
835,F
837,F
839,F
841,F
843,F
845,F
847,F
849,F
851,F
853,F
855,F
857,F
859,F
861,F
863,F
865,F
867,F
869,F
871,F
873,F
875,F
877,F
879,F
881,F
883,F
885,F
887,F
889,F
891,F
893,F
895,F
897,F
899,F
901,F
903,F
905,F
907,F
909,F
911,F
913,F
915,F
917,F
919,F
921,F
923,F
925,F
927,F
929,F
931,F
933,F
935,F
937,F
939,F
941,F
943,F
945,F
947,F
949,F
951,F
953,F
955,F
957,F
959,F
961,F
963,F
965,F
967,F
969,F
971,F
973,F
975,F
977,F
979,F
981,F
983,F
985,F
987,F
989,F
991,F
993,F
995,F
997,F
999,F
1001,F
1003,F
1005,F
1007,F
1009,F
1011,F
1013,F
1015,F
1017,F
1019,F
1021,F
1023,F
1025,F
1027,F
1029,F
1031,F
1033,F
1035,F
1037,F
1039,F
1041,F
1043,F
1045,F
1047,F
1049,F
1051,F
1053,F
1055,F
1057,F
1059,F
1061,F
1063,F
1065,F
1067,F
1069,F
1071,F
1073,F
1075,F
1077,F
1079,F
1081,F
1083,F
1085,F
1087,F
1089,F
1091,F
1093,F
1095,F
1097,F
1099,F
1101,F
1103,F
1105,F
1107,F
1109,F
1111,F
1113,F
1115,F
1117,F
1119,F
1121,F
1123,F
1125,F
1127,F
1129,F
1131,F
1133,F
1135,F
1137,F
1139,F
1141,F
1143,F
1145,F
1147,F
1149,F
1151,F
1153,F
1155,F
1157,F
1159,F
1161,F
1163,F
1165,F
1167,F
1169,F
1171,F
1173,F
1175,F
1177,F
1179,F
1181,F
1183,F
1185,F
1187,F
1189,F
1191,F
1193,F
1195,F
1197,F
1199,F
1201,F
1203,F
1205,F
1207,F
1209,F
1211,F
1213,F
1215,F
1217,F
1219,F
1221,F
1223,F
1225,F
1227,F
1229,F
1231,F
1233,F
1235,F
1237,F
1239,F
1241,F
1243,F
1245,F
1247,F
1249,F
1251,F
1253,F
1255,F
1257,F
1259,F
1261,F
1263,F
1265,F
1267,F
1269,F
1271,F
1273,F
1275,F
1277,F
1279,F
1281,F
1283,F
1285,F
1287,F
1289,F
1291,F
1293,F
1295,F
1297,F
1299,F
1301,F
1303,F
1305,F
1307,F
1309,F
1311,F
1313,F
1315,F
1317,F
1319,F
1321,F
1323,F
1325,F
1327,F
1329,F
1331,F
1333,F
1335,F
1337,F
1339,F
1341,F
1343,F
1345,F
1347,F
1349,F
1351,F
1353,F
1355,F
1357,F
1359,F
1361,F
1363,F
1365,F
1367,F
1369,F
1371,F
1373,F
1375,F
1377,F
1379,F
1381,F
1383,F
1385,F
1387,F
1389,F
1391,F
1393,F
1395,F
1397,F
1399,F
1401,F
1403,F
1405,F
1407,F
1409,F
1411,F
1413,F
1415,F
1417,F
1419,F
1421,F
1423,F
1425,F
1427,F
1429,F
1431,F
1433,F
1435,F
1437,F
1439,F
1441,F
1443,F
1445,F
1447,F
1449,F
1451,F
1453,F
1455,F
1457,F
1459,F
1461,F
1463,F
1465,F
1467,F
1469,F
1471,F
1473,F
1475,F
1477,F
1479,F
1481,F
1483,F
1485,F
1487,F
1489,F
1491,F
1493,F
1495,F
1497,F
1499,F
1501,F
1503,F
1505,F
1507,F
1509,F
1511,F
1513,F
1515,F
1517,F
1519,F
1521,F
1523,F
1525,F
1527,F
1529,F
1531,F
1533,F
1535,F
1537,F
1539,F
1541,F
1543,F
1545,F
1547,F
1549,F
1551,F
1553,F
1555,F
1557,F
1559,F
1561,F
1563,F
1565,F
1567,F
1569,F
1571,F
1573,F
1575,F
1577,F
1579,F
1581,F
1583,F
1585,F
1587,F
1589,F
1591,F
1593,F
1595,F
1597,F
1599,F
1601,F
1603,F
1605,F
1607,F
1609,F
1611,F
1613,F
1615,F
1617,F
1619,F
1621,F
1623,F
1625,F
1627,F
1629,F
1631,F
1633,F
1635,F
1637,F
1639,F
1641,F
1643,F
1645,F
1647,F
1649,F
1651,F
1653,F
1655,F
1657,F
1659,F
1661,F
1663,F
1665,F
1667,F
1669,F
1671,F
1673,F
1675,F
1677,F
1679,F
1681,F
1683,F
1685,F
1687,F
1689,F
1691,F
1693,F
1695,F
1697,F
1699,F
1701,F
1703,F
1705,F
1707,F
1709,F
1711,F
1713,F
1715,F
1717,F
1719,F
1721,F
1723,F
1725,F
1727,F
1729,F
1731,F
1733,F
1735,F
1737,F
1739,F
1741,F
1743,F
1745,F
1747,F
1749,F
1751,F
1753,F
1755,F
1757,F
1759,F
1761,F
1763,F
1765,F
1767,F
1769,F
1771,F
1773,F
1775,F
1777,F
1779,F
1781,F
1783,F
1785,F
1787,F
1789,F
1791,F
1793,F
1795,F
1797,F
1799,F
1801,F
1803,F
1805,F
1807,F
1809,F
1811,F
1813,F
1815,F
1817,F
1819,F
1821,F
1823,F
1825,F
1827,F
1829,F
1831,F
1833,F
1835,F
1837,F
1839,F
1841,F
1843,F
1845,F
1847,F
1849,F
1851,F
1853,F
1855,F
1857,F
1859,F
1861,F
1863,F
1865,F
1867,F
1869,F
1871,F
1873,F
1875,F
1877,F
1879,F
1881,F
1883,F
1885,F
1887,F
1889,F
1891,F
1893,F
1895,F
1897,F
1899,F
1901,F
1903,F
1905,F
1907,F
1909,F
1911,F
1913,F
1915,F
1917,F
1919,F
1921,F
1923,F
1925,F
1927,F
1929,F
1931,F
1933,F
1935,F
1937,F
1939,F
1941,F
1943,F
1945,F
1947,F
1949,F
1951,F
1953,F
1955,F
1957,F
1959,F
1961,F
1963,F
1965,F
1967,F
1969,F
1971,F
1973,F
1975,F
1977,F
1979,F
1981,F
1983,F
1985,F
1987,F
1989,F
1991,F
1993,F
1995,F
1997,F
1999,F
2001,F
2003,F
2005,F
2007,F
2009,F
2011,F
2013,F
2015,F
2017,F
2019,F
2021,F
2023,F
2025,F
2027,F
2029,F
2031,F
2033,F
2035,F
2037,F
2039,F
2041,F
2043,F
2045,F
2047,F
2049,F
2051,F
2053,F
2055,F
2057,F
2059,F
2061,F
2063,F
2065,F
2067,F
2069,F
2071,F
2073,F
2075,F
2077,F
2079,F
2081,F
2083,F
2085,F
2087,F
2089,F
2091,F
2093,F
2095,F
2097,F
2099,F
2101,F
2103,F
2105,F
2107,F
2109,F
2111,F
2113,F
2115,F
2117,F
2119,F
2121,F
2123,F
2125,F
2127,F
2129,F
2131,F
2133,F
2135,F
2137,F
2139,F
2141,F
2143,F
2145,F
2147,F
2149,F
2151,F
2153,F
2155,F
2157,F
2159,F
2161,F
2163,F
2165,F
2167,F
2169,F
2171,F
2173,F
2175,F
2177,F
2179,F
2181,F
2183,F
2185,F
2187,F
2189,F
2191,F
2193,F
2195,F
2197,F
2199,F
2201,F
2203,F
2205,F
2207,F
2209,F
2211,F
2213,F
2215,F
2217,F
2219,F
2221,F
2223,F
2225,F
2227,F
2229,F
2231,F
2233,F
2235,F
2237,F
2239,F
2241,F
2243,F
2245,F
2247,F
2249,F
2251,F
2253,F
2255,F
2257,F
2259,F
2261,F
2263,F
2265,F
2267,F
2269,F
2271,F
2273,F
2275,F
2277,F
2279,F
2281,F
2283,F
2285,F
2287,F
2289,F
2291,F
2293,F
2295,F
2297,F
2299,F
2301,F
2303,F
2305,F
2307,F
2309,F
2311,F
2313,F
2315,F
2317,F
2319,F
2321,F
2323,F
2325,F
2327,F
2329,F
2331,F
2333,F
2335,F
2337,F
2339,F
2341,F
2343,F
2345,F
2347,F
2349,F
2351,F
2353,F
2355,F
2357,F
2359,F
2361,F
2363,F
2365,F
2367,F
2369,F
2371,F
2373,F
2375,F
2377,F
2379,F
2381,F
2383,F
2385,F
2387,F
2389,F
2391,F
2393,F
2395,F
2397,F
2399,F
2401,F
2403,F
2405,F
2407,F
2409,F
2411,F
2413,F
2415,F
2417,F
2419,F
2421,F
2423,F
2425,F
2427,F
2429,F
2431,F
2433,F
2435,F
2437,F
2439,F
2441,F
2443,F
2445,F
2447,F
2449,F
2451,F
2453,F
2455,F
2457,F
2459,F
2461,F
2463,F
2465,F
2467,F
2469,F
2471,F
2473,F
2475,F
2477,F
2479,F
2481,F
2483,F
2485,F
2487,F
2489,F
2491,F
2493,F
2495,F
2497,F
2499,F
2501,F
2503,F
2505,F
2507,F
2509,F
2511,F
2513,F
2515,F
2517,F
2519,F
2521,F
2523,F
2525,F
2527,F
2529,F
2531,F
2533,F
2535,F
2537,F
2539,F
2541,F
2543,F
2545,F
2547,F
2549,F
2551,F
2553,F
2555,F
2557,F
2559,F
2561,F
2563,F
2565,F
2567,F
2569,F
2571,F
2573,F
2575,F
2577,F
2579,F
2581,F
2583,F
2585,F
2587,F
2589,F
2591,F
2593,F
2595,F
2597,F
2599,F
2601,F
2603,F
2605,F
2607,F
2609,F
2611,F
2613,F
2615,F
2617,F
2619,F
2621,F
2623,F
2625,F
2627,F
2629,F
2631,F
2633,F
2635,F
2637,F
2639,F
2641,F
2643,F
2645,F
2647,F
2649,F
2651,F
2653,F
2655,F
2657,F
2659,F
2661,F
2663,F
2665,F
2667,F
2669,F
2671,F
2673,F
2675,F
2677,F
2679,F
2681,F
2683,F
2685,F
2687,F
2689,F
2691,F
2693,F
2695,F
2697,F
2699,F
2701,F
2703,F
2705,F
2707,F
2709,F
2711,F
2713,F
2715,F
2717,F
2719,F
2721,F
2723,F
2725,F
2727,F
2729,F
2731,F
2733,F
2735,F
2737,F
2739,F
2741,F
2743,F
2745,F
2747,F
2749,F
2751,F
2753,F
2755,F
2757,F
2759,F
2761,F
2763,F
2765,F
2767,F
2769,F
2771,F
2773,F
2775,F
2777,F
2779,F
2781,F
2783,F
2785,F
2787,F
2789,F
2791,F
2793,F
2795,F
2797,F
2799,F
2801,F
2803,F
2805,F
2807,F
2809,F
2811,F
2813,F
2815,F
2817,F
2819,F
2821,F
2823,F
2825,F
2827,F
2829,F
2831,F
2833,F
2835,F
2837,F
2839,F
2841,F
2843,F
2845,F
2847,F
2849,F
2851,F
2853,F
2855,F
2857,F
2859,F
2861,F
2863,F
2865,F
2867,F
2869,F
2871,F
2873,F
2875,F
2877,F
2879,F
2881,F
2883,F
2885,F
2887,F
2889,F
2891,F
2893,F
2895,F
2897,F
2899,F
2901,F
2903,F
2905,F
2907,F
2909,F
2911,F
2913,F
2915,F
2917,F
2919,F
2921,F
2923,F
2925,F
2927,F
2929,F
2931,F
2933,F
2935,F
2937,F
2939,F
2941,F
2943,F
2945,F
2947,F
2949,F
2951,F
2953,F
2955,F
2957,F
2959,F
2961,F
2963,F
2965,F
2967,F
2969,F
2971,F
2973,F
2975,F
2977,F
2979,F
2981,F
2983,F
2985,F
2987,F
2989,F
2991,F
2993,F
2995,F
2997,F
2999,F
3001,F
3003,F
3005,F
3007,F
3009,F
3011,F
3013,F
3015,F
3017,F
3019,F
